grid;velocity;spread_rate;lambda;fraction mélange;T;density;X_H2;X_H;X_O;X_O2;X_OH;X_H2O;X_HO2;X_H2O2;X_C;X_CH;X_CH2;X_CH2(S);X_CH3;X_CH4;X_CO;X_CO2;X_HCO;X_CH2O;X_CH2OH;X_CH3O;X_CH3OH;X_C2H;X_C2H2;X_C2H3;X_C2H4;X_C2H5;X_C2H6;X_HCCO;X_CH2CO;X_HCCOH;X_N;X_NH;X_NH2;X_NH3;X_NNH;X_NO;X_NO2;X_N2O;X_HNO;X_CN;X_HCN;X_H2CN;X_HCNN;X_HCNO;X_HOCN;X_HNCO;X_NCO;X_N2;X_AR;X_C3H7;X_C3H8;X_CH2CHO;X_CH3CHO
0;0.196502233;-1.36E-19;-2646.530354;1.00E+00;300;1.221360164;0.000125022;5.05E-14;0;4.52E-10;0;6.69E-07;1.16E-13;5.98E-13;2.63E-15;7.11E-15;2.88E-17;0;3.95E-13;7.98E-08;1.79E-07;2.90E-08;4.91E-16;1.74E-11;1.51E-15;5.37E-15;2.76E-12;0;2.82E-08;9.02E-17;2.48E-08;2.13E-11;0.99987198;1.42E-17;2.31E-11;3.46E-13;1.67E-14;4.34E-15;8.78E-16;8.53E-11;3.52E-30;2.49E-10;1.53E-11;1.37E-13;0;5.39E-19;3.80E-11;1.99E-16;1.20E-16;1.36E-12;2.00E-15;5.85E-12;2.42E-18;1.97E-06;1.82E-08;4.52E-13;3.31E-11;3.78E-14;1.34E-13
0.001;0.185560477;11.02782028;-2646.530354;1.00E+00;300.0091019;1.220825468;0.000555577;1.07E-14;0;6.51E-09;0;9.52E-06;1.68E-12;8.09E-12;2.35E-15;2.72E-18;2.06E-16;0;5.31E-12;1.08E-06;2.58E-06;5.63E-07;9.84E-15;3.53E-10;1.50E-15;7.71E-14;5.68E-11;0;5.08E-07;2.64E-15;4.72E-07;4.29E-10;0.999401308;1.62E-16;5.32E-10;7.98E-12;1.62E-14;3.77E-15;7.20E-15;1.24E-09;5.26E-29;3.62E-09;2.70E-10;2.66E-12;9.95E-15;1.87E-17;7.82E-10;4.12E-15;1.52E-16;2.64E-11;3.87E-14;1.13E-10;4.63E-17;2.81E-05;2.78E-07;1.16E-11;8.58E-10;8.75E-13;3.13E-12
0.002;0.152879512;22.06493906;-2646.530354;1.00E+00;300.1810183;1.217951817;0.002383403;2.06E-14;4.63E-17;8.91E-08;3.95E-17;0.000128672;2.32E-11;1.12E-10;1.05E-15;2.03E-22;2.52E-16;6.78E-27;6.77E-11;1.38E-05;3.53E-05;1.04E-05;1.88E-13;6.76E-09;1.43E-15;1.45E-12;1.11E-09;0;8.71E-06;4.51E-14;8.52E-06;8.22E-09;0.997025479;1.74E-15;1.16E-08;1.74E-10;1.25E-14;1.48E-15;6.36E-14;1.72E-08;1.39E-27;4.99E-08;4.52E-09;4.93E-11;1.64E-13;4.36E-17;1.52E-08;8.09E-14;1.11E-16;4.86E-10;7.13E-13;2.09E-09;3.44E-16;0.000381508;4.03E-06;2.84E-10;2.10E-08;1.92E-11;6.90E-11
0.0025;0.128925973;27.62928675;-2646.530354;9.98E-01;301.2026912;1.210327286;0.005115361;7.80E-14;5.91E-16;4.51E-07;1.08E-15;0.000643821;1.23E-10;5.71E-10;2.72E-16;8.33E-26;7.09E-16;2.32E-25;3.28E-10;6.61E-05;0.000178425;6.74E-05;1.29E-12;4.56E-08;1.77E-15;9.98E-12;7.56E-09;0;5.33E-05;2.81E-13;5.45E-05;5.54E-08;0.991881598;9.00E-15;8.80E-08;1.32E-09;7.40E-15;3.76E-16;2.29E-13;8.80E-08;2.76E-26;2.54E-07;2.71E-08;3.22E-10;8.46E-13;2.87E-17;1.04E-07;5.57E-13;6.01E-17;3.16E-09;4.64E-12;1.36E-08;5.14E-16;0.001916772;2.14E-05;2.37E-09;1.77E-07;1.46E-10;5.26E-10
0.003;0.10186847;33.46410797;-2646.530354;9.88E-01;308.1845288;1.174719802;0.010757447;2.68E-13;9.93E-15;2.33E-06;3.16E-14;0.003289567;7.26E-10;2.99E-09;1.70E-17;6.81E-25;5.02E-15;2.06E-23;1.68E-09;0.000323033;0.000923613;0.000454002;9.38E-12;3.19E-07;7.07E-15;7.20E-11;5.36E-08;0;0.000336252;1.96E-12;0.000360817;3.87E-07;0.973565102;5.83E-14;6.93E-07;1.04E-08;1.68E-15;4.15E-16;8.36E-13;4.60E-07;6.48E-25;1.33E-06;1.67E-07;2.18E-09;4.43E-12;4.27E-18;7.40E-07;3.96E-12;1.14E-17;2.13E-08;3.13E-11;9.16E-08;2.25E-16;0.009865279;0.000116704;2.07E-08;1.55E-06;1.16E-09;4.18E-09
0.00325;0.089296621;36.87620903;-2646.530354;9.72E-01;322.5178017;1.114941082;0.015155148;6.82E-13;4.90E-14;5.43E-06;2.21E-13;0.007556942;2.49E-09;7.01E-09;1.11E-18;5.40E-24;2.54E-14;4.10E-22;4.62E-09;0.000724037;0.002147852;0.00125314;2.99E-11;9.01E-07;3.39E-14;2.15E-10;1.53E-07;2.68E-23;0.000888683;8.74E-12;0.000983617;1.10E-06;0.948102577;2.67E-13;2.13E-06;3.19E-08;3.94E-16;1.92E-15;1.59E-12;1.07E-06;6.57E-24;3.10E-06;4.34E-07;6.02E-09;1.03E-11;4.56E-19;2.11E-06;1.12E-11;2.25E-18;5.88E-08;8.63E-11;2.53E-07;8.17E-17;0.022885875;0.000280104;6.78E-08;5.15E-06;3.60E-09;1.29E-08
0.0035;0.079394136;41.31119204;-2646.530354;9.37E-01;357.6569717;0.995094152;0.0204897;2.52E-12;2.03E-13;1.18E-05;1.32E-12;0.016163225;9.38E-09;1.54E-08;4.58E-20;6.59E-23;1.28E-13;9.84E-21;1.35E-08;0.00152061;0.004688087;0.00323712;9.59E-11;2.37E-06;1.70E-13;5.93E-10;4.07E-07;1.86E-21;0.002198099;4.82E-11;0.002506466;2.92E-06;0.898573684;1.33E-12;6.12E-06;9.18E-08;6.34E-17;1.46E-14;2.85E-12;2.33E-06;1.64E-22;6.80E-06;1.05E-06;1.56E-08;2.25E-11;2.42E-20;5.63E-06;2.93E-11;4.12E-19;1.52E-07;2.23E-10;6.53E-07;7.30E-17;0.049936442;0.000629811;2.07E-07;1.61E-05;1.05E-08;3.73E-08
0.003625;0.075515575;44.18889156;-2646.530354;9.09E-01;387.8113585;0.911485891;0.023441784;6.33E-12;5.03E-13;1.69E-05;3.38E-12;0.022736533;2.13E-08;2.20E-08;3.92E-21;3.84E-22;3.51E-13;6.75E-20;2.52E-08;0.00212948;0.006697513;0.005018718;1.94E-10;3.70E-06;4.20E-13;9.70E-10;6.39E-07;2.49E-20;0.003334408;1.60E-10;0.003855897;4.62E-06;0.860357079;3.76E-12;1.00E-05;1.50E-07;2.86E-17;5.64E-14;3.76E-12;3.30E-06;1.31E-21;9.74E-06;1.57E-06;2.42E-08;3.20E-11;1.20E-20;8.83E-06;4.46E-11;6.22E-19;2.35E-07;3.46E-10;1.01E-06;1.78E-16;0.071427899;0.000911908;3.41E-07;2.76E-05;1.75E-08;6.12E-08
0.00375;0.071856047;47.6344944;-2646.530354;8.73E-01;427.7996253;0.819899668;0.026427242;1.75E-11;1.08E-12;2.33E-05;7.70E-12;0.030751748;4.64E-08;3.04E-08;3.54E-22;2.23E-21;8.51E-13;4.94E-19;4.64E-08;0.00287946;0.009234695;0.007458746;3.96E-10;5.52E-06;9.50E-13;1.51E-09;9.59E-07;3.39E-19;0.004855258;5.00E-10;0.005684326;7.01E-06;0.8125847;9.54E-12;1.56E-05;2.34E-07;5.47E-17;2.09E-13;4.89E-12;4.50E-06;1.19E-20;1.35E-05;2.24E-06;3.60E-08;4.37E-11;8.38E-20;1.32E-05;6.35E-11;2.17E-18;3.50E-07;5.14E-10;1.50E-06;5.59E-16;0.098718015;0.00127199;5.27E-07;4.51E-05;2.77E-08;9.58E-08
0.0038125;0.069882397;49.56068705;-2646.530354;8.52E-01;451.3408092;0.773826066;0.027947858;3.06E-11;1.64E-12;2.70E-05;1.15E-11;0.035314466;6.89E-08;3.54E-08;7.26E-23;5.83E-21;1.35E-12;1.44E-18;6.33E-08;0.003311715;0.010722707;0.008966093;5.76E-10;6.64E-06;1.43E-12;1.85E-09;1.16E-06;1.25E-18;0.005780493;9.28E-10;0.006804587;8.55E-06;0.784693362;1.53E-11;1.92E-05;2.88E-07;1.22E-16;4.25E-13;5.60E-12;5.19E-06;3.75E-20;1.57E-05;2.63E-06;4.33E-08;5.05E-11;2.58E-19;1.60E-05;7.30E-11;4.61E-18;4.20E-07;6.17E-10;1.81E-06;1.11E-15;0.114812023;0.001484444;6.36E-07;5.67E-05;3.41E-08;1.18E-07
